,id,gps2id,start,duraion
922,246,1446,3,14
923,246,1496,18,2
924,246,1446,21,2
925,247,1496,0,7
926,247,1497,10,5
927,247,1496,18,5
928,248,855,0,8
929,248,905,11,3
930,248,855,17,7
931,249,804,0,10
932,249,705,13,3
933,249,804,19,4
934,250,1447,0,1
935,250,1446,2,10
936,250,1447,13,5
937,250,1447,19,3
938,250,1397,23,4
939,251,1345,1,1
940,251,1346,5,7
941,251,1345,15,4
942,251,1547,20,2
943,251,418,23,3
944,252,1495,1,13
945,252,1495,15,3
946,252,1445,20,2
947,252,1495,23,2
948,253,980,2,17
949,253,986,20,2
950,253,1036,22,2
951,254,1546,0,7
952,254,1496,10,5
953,254,1446,18,4
954,254,1497,23,3
955,255,1624,0,14
956,255,915,17,2
957,255,866,21,5
958,256,1546,0,10
959,256,1446,13,2
960,256,1496,18,4
961,256,1446,23,4
962,257,887,7,2
963,257,938,11,3
964,257,887,16,4
965,257,938,21,2
966,257,1007,23,2
967,258,1624,0,4
968,258,1674,7,5
969,258,2235,13,5
970,258,1396,21,2
971,259,1518,0,7
972,259,980,9,3
973,259,479,15,3
974,259,475,21,2
975,260,1497,0,1
976,260,1547,4,7
977,260,1495,12,5
978,260,1547,18,3
979,260,1497,22,1
980,261,1058,0,12
981,261,1497,13,3
982,261,1346,17,6
983,262,1494,0,5
984,262,1544,8,4
985,262,1495,13,3
986,262,1496,18,4
987,262,1394,23,4
988,263,705,0,8
989,263,704,11,2
990,263,656,14,3
991,263,756,20,3
992,264,893,1,7
993,264,842,11,2
994,264,843,16,5
995,264,2189,22,2
996,265,1585,7,1
997,265,478,11,6
998,265,890,19,3
999,265,941,23,2
1000,266,1675,1,7
1001,266,1727,9,7
1002,266,1495,18,4
1003,266,1445,23,5
1004,267,1446,3,15
1005,267,1546,20,2
1006,267,1446,23,3
1007,268,805,0,7
1008,268,804,10,6
1009,268,805,19,6
1010,269,1446,1,11
1011,269,1447,13,2
1012,269,1446,17,4
1013,269,1447,21,1
1014,269,1446,22,1
1015,269,1447,23,3
1016,270,1547,1,17
1017,270,1294,19,2
1018,270,1547,22,2
1019,271,1396,2,4
1020,271,1446,9,5
1021,271,1546,17,3
1022,271,1496,22,1
1023,272,1547,0,1
1024,272,1548,4,6
1025,272,1547,13,4
1026,272,1548,20,3
1027,273,1439,0,5
1028,273,1490,8,4
1029,273,1489,15,6
1030,273,1490,22,1
1031,274,656,0,6
1032,274,1007,9,3
1033,274,804,14,6
1034,274,806,21,2
1035,275,1496,0,7
1036,275,1447,9,4
1037,275,1496,16,5
1038,275,1497,22,1
1039,276,1496,0,2
1040,276,1497,5,6
1041,276,1344,14,7
1042,276,1547,22,1
1043,277,1496,0,13
1044,277,1446,15,3
1045,277,1496,20,3
1046,278,1496,9,3
1047,278,1447,13,3
1048,278,1447,17,4
1049,278,1547,22,1
1050,279,1496,0,13
1051,279,1446,15,3
1052,279,1496,20,3
1053,280,755,0,9
1054,280,806,11,3
1055,280,854,16,3
1056,280,804,22,2
1057,281,1680,0,8
1058,281,756,11,3
1059,281,805,17,6
1060,282,855,1,7
1061,282,855,10,5
1062,282,705,18,3
1063,282,855,22,1
1064,283,1497,0,15
1065,283,1496,18,2
1066,283,1497,22,1
1067,284,1497,0,7
1068,284,1546,10,5
1069,284,1547,18,3
1070,284,1546,22,1
1071,285,1447,2,8
1072,285,1446,11,3
1073,285,1447,15,3
1074,285,1346,21,4
1075,286,1498,0,1
1076,286,1446,2,10
1077,286,1446,13,3
1078,286,1496,19,3
1079,286,1497,23,3
1080,287,1445,3,1
1081,287,1646,7,7
1082,287,1445,17,2
1083,287,1495,21,1
1084,287,1445,23,4
1085,288,855,0,6
1086,288,705,9,5
